nombre,descripcion,ubicacion,url,precio,tipo,habitaciones,baños,metros_cuadrados,estacionamientos
Departamento en Venta en Real Del Bosque,"Departamentos disponibles para entrega inmediata en los pisos más altos de este increíble desarrollo recién terminado, ubicado en una zona alta plusvalía debido a la cercanía de escuelas y vías importantes de Zapopan. Excelente oportunidad de inversión desde bajos montos.

TIPO: DEPARTAMENTO EN NIVEL 7
SUPERFICIE: 69 m2

DISTRIBUCIÓN:
Cocina equipada 
Espacio de sala comedor
Baño completo
Recámara secundaria con closet
Recámara principal con closet, baño completo y balcón con vista hacia Andares o hacia Barranca
Área de lavabo con lavabo
1 cajón de estacionamiento
1 cajón de estacionamiento

UBICACIÓN y ZONAS ALEDAÑAS:
Este desarrollo está ubicado entre Av. Valdepeñas, Av. Federalistas y Calzada de las flores en Zapopan, JAL.  Se encuentra a 7 minutos de periférico norte, 8 minutos de la Universidad de Guadalajara - CUCEA,  11 minutos del Auditorio Telmex. Con todos los servicios, tiendas de conveniencia, consultorios médicos y hospitales a menos de 15 minutos.

AMENIDADES:
Alberca
Gym
Sala de juntas
Ludoteca,
Salón de yoga
Asoleadores
Terraza
Asador
Camastros
Área infantil
Ciclopuertos
Caseta de vigilancia 24/7
Barda perimetral 

¡LISTO PARA ESTRENAR!
Entrega inmediata

PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS SIN PREVIO AVISO. EasyBroker ID: EB-RB9597","Real Del Bosque, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-429a9d5dc37c-f6b0-1958d96-b9f1-7eff,"$ 2,590,000 MXN",venta,2.0,2.0,69 m²,1 Estacionamiento
Departamento en Venta en Puerta de Hierro,"Exclusivo departamento en ""Lobby 33"" ubicado en una de las mejores zonas de Guadalajara. Con las mejores vistas y amenidades

SUPERFICIE:  171m2 

DISTRIBUCIÓN:
Cocina integral con electrodomésticos 
Sala y comedor 
Baño completo
Balcón con vista hacia Colomos
Recámara principal con vestidor y baño completo con una vista increíble
2 recámaras secundarias con closets y baño compartido
Cuarto de servicio con baño completo.
Área de lavado 
2 cajones de estacionamiento + bodega (en sótano)

UBICACIÓN Y ZONAS ALEDAÑAS:
Se encuentra cerca de importantes vías de acceso como Periférico Norte, Patria, Acueducto… cuenta con cercanía a centros estudiantiles, comerciales, además de servicios principales como supermercados y gasolineras. 

PLUS/EXTRAS:
Acabados de lujo 
Persianas eléctricas y aire acondicionado en todas las áreas 

AMENIDADES:
SkyPool, alberca de nado, salón para eventos, salas de junta, bar, área de chimeneas.
Seguridad 24/7

¡UN LUGAR INCREIBLE PARA VIVIR!

PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS SIN PREVIO AVISO. EasyBroker ID: EB-TM1743","Puerta de Hierro, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-3dcadf3aec0b-3229-1979fc4-8ca6-776b,"$ 15,000,000 MXN",venta,3.0,3.0,171 m²,2 Estacionamientos
Departamento en Venta en Puerta Plata,"Exclusivo departamento en Lobby 33, ubicado en una de las mejores zonas de Zapopan. Con las mejores vistas y amenidades.
Departamento con vista hacia Colomos en el piso 11

SUPERFICIE:  98.15m2 

DISTRIBUCIÓN:
Cocina integral
Sala
Comedor 
Baño completo
Recámara principal con vestidor y baño completo 
Recámara secundaria con closet 
Área de lavado 
2 cajones de estacionamiento 

UBICACIÓN y ZONAS ALEDAÑAS:
Se encuentra en la prestigiada colonia Puerta de Hierro en Zapopan, a un costado del centro comercial Andares.
Cuenta con rápido acceso a Avenidas principales de la ciudad.

PLUS/EXTRAS:
Acabados de lujo 
Aire acondicionado en todas las áreas 

AMENIDADES:
Alberca
Carril de nado
Salón para eventos
Salas de junta
Bar
Área de chimeneas
Cine
Ludoteca
Gym
Seguridad 24/7

¡LISTO PARA ESCRITURAR!

PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS SIN PREVIO AVISO. EasyBroker ID: EB-SW9149","Puerta Plata, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-4e628867bbba-c794-196418b-991c-77ad,"$ 8,600,000 MXN",venta,2.0,2.0,98 m²,2 Estacionamientos
Departamento en Venta en Puerta de Hierro,"Habita el Penthouse de Landmark en el piso 33, en la zona Puerta de Hierro con acabados de alta calidad. Su amplia sala-comedor está iluminada por ventanales que ofrecen vistas panorámicas. Su ubicación privilegiada permite fácil acceso a centros comerciales, escuelas y vías rápidas, convirtiéndo en una excelente opción para vivir o invertir.

SUPERFICIE: 387.96 m2

DISTRIBUCIÓN EN PLANTA BAJA:
Recibidor
Family room
Sala y comedor con balcón 
Terraza con vista panorámica
Cocina integral
Cuarto de servicio con baño completo
Área de lavado
Medio baño de visitas

DISTRIBUCIÓN PLANTA ALTA:
Recámara principal con vista panorámica, baño completo y vestidor
2 recámaras secundarias con baño completo cada una
Área de TV

AMENIDADES:
Área de coworking 
Lobby 
Seguridad 
PET friendly 
Alberca
Gimnasio
Salón de usos múltiples
Area para niños

PLUS - EXTRAS:
4 elevadores + 1 de carga
Control de acceso biométrico
Aire acondicionado centralizado en el departamento
Bodega

UBICACIÓN y ZONAS ALEDAÑAS:
Se ubica cerca de importantes avenidas como Av. Patria y Periférico. Está rodeado de centros comerciales como Andares y Plaza Patria, así como hospitales, escuelas y restaurantes, lo que ofrece una excelente conectividad y servicios en sus alrededores.

¡LISTO PARA ESCRITURAR!
Mantenimiento: 14,500

PRECIOS Y DISPONIBILIDAD SUJETOS A CAMBIOS SIN PREVIO AVISO. EasyBroker ID: EB-SO9709","Puerta de Hierro, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-dd298f407e2e-3f69-1959cb5-ad2d-7c45,"$ 37,734,500 MXN",venta,3.0,4.0,387 m²,3 Estacionamientos
Departamento en Venta en Lomas Altas,"Departamento en venta Vista Lomas
Lomas Altas, Zapopan, Jalisco.

2 recamaras
Recámara principal con baño y walk-in closet
2½ baños
2 cajones de estacionamiento  techados
Area de lavanderia
121m² Construcción 

Completamente Amueblado

Amenidades AAA
Gimnasio
Area de jardín
Co-work
Terraza con carril de nado

Seguridad 24/7

$7,450,000. EasyBroker ID: EB-TP1695","Lomas Altas, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-a2492185c9f1-73bc-197d860-b72e-76c9,"$ 7,450,000 MXN",venta,2.0,2.0,121 m²,2 Estacionamientos
Departamento en Venta en Valle Real,"DEPA EN EL PISO 9 CON 151 MTS CUADRADOS 2  RECAMARAS , 2 BAÑOS Y MEDIO , BALCON , COCINA , SALA , COMEDOR , BODEGA , 2 ESTACIONAMIENTOS , INCREIBLES AMENIDADES","Valle Real, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-bcbd3defb2f3-bf13-194d1ca-899b-7493,"$ 9,900,000 MXN",venta,2.0,2.0,151 m²,
Departamento en Venta en Puerta del Valle,"Departamentos en Venta Zapopan Torre ZENTRAL - ZONA VALLE REAL - ANDARES 

DEPARTAMENTO 1907 
Precio: $6,650,000.00 
Superficie total: 125.29 
Superficie Interior: 91.60 
Superficie Terraza: 33.69 
Habitaciones: 2 
Baños: 2 
Estacionamientos: 2 

Torre con alberca, Gimnasio, Sky Garden, lobby, Ludoteca, Jacuzzi, hermoso jardín, asadores. PRECIOSA VISTA. 

Precio sujetos a cambio sin previo aviso. 
La disponibilidad de la propiedad puede variar. 

Más información 
33-12-77-5----","Puerta del Valle, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-9bea419be037-fff3-1985886-bd2d-72cf,"$ 6,650,000 MXN",venta,2.0,2.0,91 m²,2 Estacionamientos
Departamento en Venta en Puerta del Valle,"Departamentos en Venta Zapopan Torre ZENTRAL - ZONA VALLE REAL - ANDARES 

DEPARTAMENTO 2105 
Precio: $7,700,000.00 
Superficie total: 151.34 m2 
Superficie Interior: 114.5 
Superficie Terraza: 36.84 
Habitaciones: 3 
Baños: 2 
Estacionamientos: 2 

Torre con alberca, Gimnasio, Sky Garden, lobby, Ludoteca, Jacuzzi, hermoso jardín, asadores. PRECIOSA VISTA. 

Precio sujetos a cambio sin previo aviso. 
La disponibilidad de la propiedad puede variar. 

Más información 
33-12-77-5----","Puerta del Valle, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-e9ce4b66ae95-f3a3-198589f-b01c-707a,"$ 7,700,000 MXN",venta,3.0,2.0,114 m²,2 Estacionamientos
Departamento en Venta en Jardines Del Tepeyac,"Departamento que has buscado!
Extraordinario departamento nuevo muy amplio en la torre de solamente 
95 unidades.

Cuenta con:
2 recamaras 
2,5 baños
2 walk-in closets
2 cajones de estacionamiento 
1 bodega
cajones de visita
104 m2 
Recámaras grandes de 4x4 metros, en ambas recámaras cabe la cama king size.
Excelente distribución de los espacios! 

Amenidades:
alberca
chapoteadero
juegos infantiles 
asadores  
salón de juegos
seguridad 24/7

Además :
gimnasio profesional de 3,000 m2
áreas comerciales 
business center con área de co-working (acceso gratuito durante 12 meses en la compra del departamento!!)

A 5 minutos del Parque Metropolitano 
A pasos de Soriana y Home Depot
A 2 min de UNIVA
A 7 min de Periferico 
A 15 min de Andares
A 15 min de Expo guadalajara 
A 8 min de Chapalita 
A 8 minutos de La Perla
A 15 min de la universidad Autónoma 
Restaurantes, escuelas, colegios, hospitales cercanos. Zona tranquila y muy segura.

Ven a conocer el departamento! Te encantará!","Jardines Del Tepeyac, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-4fba576001bf-302a-1947b76-9dc0-79de,"$ 5,470,000 MXN",venta,2.0,2.0,104 m²,2 Estacionamientos
Departamento en Venta en Valle Imperial,"Preventa de Departamentos en Capital Norte
Torre Miralta Capital – Modelo Cúspide

Precio de venta: $4,462,000
Nivel PB
Superficie: 97 m²

 Incluye 1 cajón de estacionamiento (opción a un segundo por $280,000)

 Características del Modelo Cúspide:
•	2 recámaras con clóset vestidor
•	Cocina integral con barra desayunador
•	2 baños completos
•	Sala / Estancia
•	Área de lavado
•	Balcón o terraza de 5.43 m²
•	1 cajón de estacionamiento (opcional un segundo)

Amenidades exclusivas:
•	Alberca
•	3 jacuzzis en roof garden
•	Sky Bar
•	Terraza con comedores y asadores
•	2 canchas de pádel
•	Área comercial

 Ubicación estratégica en Capital Norte:
A solo 300 metros del nuevo Hospital Santa María Chapalita Norte, con alta plusvalía, ideal para vivir o invertir. Zona de gran desarrollo y crecimiento en Zapopan.

¿Por qué invertir en Torre Miralta Capital?
•	Diseño moderno y acabados premium
•	Desarrollo vertical de solo 10 niveles
•	Proyecto con visión, estilo y alta rentabilidad
•	Ubicación segura y de alto valor
•	¡Tu patrimonio en crecimiento!

 ¡Agenda tu cita y conoce el modelo Cúspide hoy mismo!
Tu nuevo departamento en Capital Norte te está esperando.
.....................................................................................
La disponibilidad y precios quedan sujeto a cambios sin previo aviso
Se aceptan pagos con créditos, estos quedan sujeto a cambios por motivos de montos variables
Contamos con políticas de no discriminación
*Para cualquier aclaración y/o quejas, por favor mandar mensaje al siguiente correo: quejas.pryagrupoinmobili----@gmail.com *
*Av., Santa Margarita #4099 Int. A-15
Plaza D-Lucca, Col. Santa Margarita, Zapopan, Jalisco. CP: 45138 *
*Tel: 33 14 54 5----
Horario de atención: Lunes a Viernes de 9:00 am a 6:00 pm, Sábados de 9:00 am a 1:00 pm.*
Aviso de privacidad:
**PIZARRO RESTREPO Y ASOCIADOS INMOBILIARIA S.A DE C.V de nombre comercial PRYA
Grupo Inmobiliario, es responsable del uso y protección de sus datos personales, en este sentido
y atendiendo las obligaciones legales establecidas en la Ley Federal de Protección de Datos
Personales en Posesión de los Particulares, a través de este instrumento se informa a los titulares
de los datos, la información que de ellos se recaba y los fines que se le darán a dicha información...**

Consulta nuestro aviso de privacidad en nuestra página: www.prya---- EasyBroker ID: EB-TG8256","Valle Imperial, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-ae567da9c5e7-54c3-197244c-b614-7d11,"$ 3,880,000 MXN",venta,1.0,1.0,97 m²,1 Estacionamiento
Departamento en Venta en Jardín Real,"OVIÉ 20 vertical living es una torre de 70 departamentos con agradables espacios diesñados para ser disfrutados por toda la familia.

AMENIDADES: Seguridad 24/7, Video Portero, Circuito cerrado, Acceso tag, Storage / Depósito, Coworking, Ludoteca, Salón usos múltiples, Gimnasio, Roof terrace, Sky pool, Fire pit, Zona grill, Área de jardín y Ciclopuerto.

Todos los departamentos cuentan con un sistema constructivo con estructura de concreto, muros colindantes y exteriores de block, muros interiores divisorios con tablaroca con aislamientos acústicos reforzados.

Sala-Comedor, Cocina integral con cubierta de granito, Área de servicio-lavandería, preparación para AC, cctv, voz y datos.

Acabados contemporáneos de gran calidad y de bajo mantenimiento como granitos, mármoles, cerámicas, carpintería modular. 

DEPARTAMENTO TIPO 110 (Modelo B): 

96.47m2 de área habitable, más un balcón de 13.97m2. Cuenta con una bodega en el área de estacionamiento de 1.87m2 y dos cajones de estacionamiento. La orientación es sur-poniente.

*Tanto los precios como la disponibilidad de unidades en inventario está sujetos a cambio sin previo aviso. Favor de comunicarse para solicitar asesoría, cotización y solicitar existencias*

-en libertad de gravamen

-se aceptan todas las formas de pago

-Contamos con atractivos descuentos de preventa. Consulta términos y condiciones.

El desarrollo cuenta con 11 unidades en total de este tipo, una por nivel. (Las unidades disponibles y precio puede variar sin previo aviso).

Contamos con atractivos descuentos de preventa. Consulta términos y condiciones.

KW Grand , Evolución inmobiliaria de occidente SAPI de C.V.

Plaza D-Lucca; Av. Santa Margarita 4099 Local C-26, Valle Real, Zapopan, CP-

45138 , Tel : 331580----- , kwg----@kwmexico.mx .

Horario de atención: Lu-Vi 8:30 am – 6:30 pm, Sab. 9:00 am – 1:00 pm.

Quejas y sugerencias al : buzonquejaskwg----@gmail.com .

No de registro del contrato : 8341-2023.

Aviso de privacidad : https://www.kwmexico.mx/privacypo----

ADL5. EasyBroker ID: EB-NM8798","Jardín Real, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-c6c55c537e7a-9ffc-190c901-8c94-7854,"$ 6,342,509 MXN",venta,3.0,2.0,96 m²,2 Estacionamientos
Departamento en Venta en Jardines Del Vigía,"Prototipo Emotions 

C.  79 mts + 27 mts de terraza 

 2 recamaras, principal con baño completo, sala-comedor, cocina equipada, área de lavado, terraza, estacionamiento  con eleva-autos (camioneta y auto).

Amenidades:
Parques, GYM, alberca, terraza,  ludoteca, salón de usos multiples, mini golf y mesas de pin - pong, lavanderia exclusiva para residentes. 

- No incluye gastos notariales.
- Imágenes para uso exclusivo de IML.
- Precio sujeto a cambio sin previo aviso. EasyBroker ID: EB-NM8491","Jardines Del Vigía, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-372451a672e-ba84-196c76d-895a-77aa,"$ 5,133,000 MXN",venta,2.0,2.0,106 m²,2 Estacionamientos
Departamento en Venta en Zapopan Centro,"C. 60 mts - 85 mts con patio

Departamento de 2 a 3 recamaras, sala-comedor, cocina equipada, barra desayunador, 2 a 3 baños, 1 a 2 autos, Terraza.

Amenidades:
Parques, GYM, alberca, terraza, ludoteca, salón de usos multiples, mini golf y mesas de pin - pong, lavanderia exclusiva para residentes.

- No incluye gastos notariales.
- Imágenes para uso exclusivo de IML.
- Precio sujeto a cambio sin previo aviso. EasyBroker ID: EB-NO3146","Zapopan Centro, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-6dbb6dc0418e-a842-196469e-87f4-74f5,"$ 4,005,000 MXN",venta,2.0,2.0,85 m²,2 Estacionamientos
Departamento en Venta en Ciudad Granja,"PREVENTA DE DEPARTAMENTOS PARA JUNIO 2027 
 en Ciudad Granja, Zapopan.
XELOZIA Más que un espacio, una decisión inteligente

un desarrollo vertical creado para quienes buscan vivir con estilo o invertir con visión.

Su ubicación estratégica, diseño funcional y alto potencial de plusvalía lo convierten en una oportunidad única para quienes quieren tomar decisiones con futuro.

114 departamentos | 2 módulos | 15 niveles
•	3 modelos de 1 y 2 recámaras
•	8 unidades por nivel
•	Espacios modernos, funcionales y bien distribuidos

IDEAL PARA VIVIRLO

Un hogar pensado para solteros, parejas o familias pequeñas que valoran la tranquilidad, la conectividad y el confort.
Vive cerca de todo lo que necesitas, en una zona residencial con gran proyección.

INTELIGENTE PARA INVERTIR
Invierte en etapa de preventa y aprovecha precios preferenciales. Está en una zona con alta demanda de renta, ideal para obtener rendimientos constantes a corto y largo plazo.

UBICACIÓN ESTRATÉGICA
Dentro del polígono Ciudad Granja – La Estancia – Ayamonte, con acceso inmediato a:
•	Av. Vallarta
•	Periférico
•	Universidad Panamericana
•	Plazas, supermercados y servicios

PLUSVALÍA EN CADA DETALLE

Cada departamento está diseñado para ofrecer calidad de vida y generar valor en el tiempo.
Invierte o habita, pero hazlo con inteligencia.

INICIO DE ENTREGAS JUNIO 2027 

📞 Aprovecha la preventa y agenda tu cita hoy.
...........................................................
La disponibilidad y precios quedan sujeto a cambios sin previo aviso
Se aceptan pagos con créditos, estos quedan sujeto a cambios por motivos de montos variables
Contamos con políticas de no discriminación
*Para cualquier aclaración y/o quejas, por favor mandar mensaje al siguiente correo: quejas.pryagrupoinmobili----@gmail.com *
*Av., Santa Margarita #4099 Int. A-15
Plaza D-Lucca, Col. Santa Margarita, Zapopan, Jalisco. CP: 45138 *
*Tel: 33 14 54 5----
Horario de atención: Lunes a Viernes de 9:00 am a 6:00 pm, Sábados de 9:00 am a 1:00 pm.*
Aviso de privacidad:
**PIZARRO RESTREPO Y ASOCIADOS INMOBILIARIA S.A DE C.V de nombre comercial PRYA
Grupo Inmobiliario, es responsable del uso y protección de sus datos personales, en este sentido
y atendiendo las obligaciones legales establecidas en la Ley Federal de Protección de Datos
Personales en Posesión de los Particulares, a través de este instrumento se informa a los titulares
de los datos, la información que de ellos se recaba y los fines que se le darán a dicha información...**

Consulta nuestro aviso de privacidad en nuestra página: www.prya---- EasyBroker ID: EB-TK7459","Ciudad Granja, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-47083e18a762-13db-19780d0-91fc-79a3,"$ 4,028,807 MXN",venta,2.0,2.0,70 m²,2 Estacionamientos
Departamento en Venta en Valle Imperial,"Preventa de Departamentos – Torre Miralta Capital
 Capital Norte, Zapopan – Zona de alta plusvalía
Modelo Cumbre – Departamento 201
Superficie: 82 m²
Ubicación: Nivel 2
Incluye 1 cajón de estacionamiento (opción a segundo por $280,000)

 Distribución del Modelo Cumbre:
•	2 recámaras con clóset vestidor
•	Cocina integral con barra desayunador
•	Área de lavado
•	2 baños completos
•	Balcón/Terraza de 5 m²
•	Sala con diseño moderno y funcional

Amenidades de primer nivel:
•	Alberca
•	3 jacuzzis en el roof garden
•	Sky Bar con vistas espectaculares
•	Terraza con comedores y asadores
•	2 canchas de pádel
•	Área comercial dentro del desarrollo

 Ubicación Estratégica:
•	A solo 300 metros del nuevo Hospital Santa María Chapalita Norte
•	Zona de alto crecimiento y plusvalía
•	Fácil acceso a vialidades principales y servicios
•	Inversión segura con gran potencial de rendimiento

¿Por qué elegir Torre Miralta Capital?
•	Desarrollo vertical de 10 niveles con 4 modelos exclusivos
•	Diseño moderno, acabados premium y distribución eficiente
•	Ideal para vivir o invertir en una de las zonas más dinámicas de Zapopan

¡Agenda tu visita y conoce el Modelo Cumbre!
Invierte en calidad de vida y patrimonio con visión a futuro.
.....................................................................................
La disponibilidad y precios quedan sujeto a cambios sin previo aviso
Se aceptan pagos con créditos, estos quedan sujeto a cambios por motivos de montos variables
Contamos con políticas de no discriminación
*Para cualquier aclaración y/o quejas, por favor mandar mensaje al siguiente correo: quejas.pryagrupoinmobili----@gmail.com *
*Av., Santa Margarita #4099 Int. A-15
Plaza D-Lucca, Col. Santa Margarita, Zapopan, Jalisco. CP: 45138 *
*Tel: 33 14 54 5----
Horario de atención: Lunes a Viernes de 9:00 am a 6:00 pm, Sábados de 9:00 am a 1:00 pm.*
Aviso de privacidad:
**PIZARRO RESTREPO Y ASOCIADOS INMOBILIARIA S.A DE C.V de nombre comercial PRYA
Grupo Inmobiliario, es responsable del uso y protección de sus datos personales, en este sentido
y atendiendo las obligaciones legales establecidas en la Ley Federal de Protección de Datos
Personales en Posesión de los Particulares, a través de este instrumento se informa a los titulares
de los datos, la información que de ellos se recaba y los fines que se le darán a dicha información...**

Consulta nuestro aviso de privacidad en nuestra página: www.prya---- EasyBroker ID: EB-TG8257","Valle Imperial, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-298fd94d69cc-e4cf-197244c-a800-7a3a,"$ 3,280,000 MXN",venta,1.0,1.0,97 m²,1 Estacionamiento
Departamento en Venta en El Vigía,"C. 61 mts hasta 86 mts con terraza 
Precio desde $3,338,000 hasta $4,024,000

2 lofts con cocina equipada, baño completo, barra desayunador, área de lavado, los de PB. con terraza. Estacionamiento un auto. 

Amenidades:
Parques, GYM, alberca, terraza, ludoteca, salón de usos multiples, mini golf y mesas de pin - pong, lavanderia exclusiva para residentes.

- No incluye gastos notariales.
- Imágenes para uso exclusivo de IML.
- Precio sujeto a cambio sin previo aviso. EasyBroker ID: EB-NO1099","El Vigía, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-285e783b961d-827d-196fd7d-9509-7c9d,"$ 3,378,000 MXN",venta,1.0,1.0,61 m²,1 Estacionamiento
Departamento en Venta en El Vigía,"Prototipo Soul
C. 49 mts - 75 mts
Precios desde $2,695,000 - $3,410,000 con patio
1 recamara, baño completo, sala-comedor, cocina equipada, barra desayunador.

Prototipo Love 
C. 60 mts - 85 mts con patio
Precio desde $3,289,000 -$4,005,000
Departamento de 2 a 3 recamaras, sala-comedor, cocina equipada, barra desayunador, 2 a 3 baños, 1 a 2 autos.

Prototipo Imagine 
C. 61 mts hasta 86 mts con terraza
Precio desde $3,338,000 - $4,024,000
2 lofts con cocina equipada, baño completo, barra desayunador, área de lavado, los de PB. con terraza. Estacionamiento un auto.

Prototipo Emotions
C. Desde 79 a 106 mts
Precios desde $4,475,000 - $5,133,000
2 recamaras, principal con baño completo, sala-comedor, cocina equipada, área de lavado, estacionamiento con elevador (camioneta y auto). EasyBroker ID: EB-NO4783","El Vigía, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-3598bfbbbdeb-5dbc-196fd7d-b8ff-7185,"$ 3,289,000 MXN",venta,2.0,2.0,60 m²,1 Estacionamiento
Departamento en Venta en Puerta de Hierro,"Departamento de Lujo en Venta – Torre Landmark Reserve, Zona Diamante de Zapopan

Vive al máximo en uno de los desarrollos más exclusivos de Zapopan: Landmark Reserve, ubicado en la prestigiada Zona Diamante, a pasos de los centros comerciales Andares y Landmark.

Este espectacular departamento en el piso 9 ofrece 193 m² perfectamente distribuidos. Cuenta con:

✔ 3 recámaras amplias, cada una con baño completo
✔ 3.5 baños en total
✔ Moderna cocina equipada
✔ Sala y comedor con vista panorámica
✔ 3 cajones de estacionamiento

La torre destaca por sus amenidades de primer nivel, diseñadas para ofrecer el más alto estilo de vida:
✔ Spa & sauna
✔ Gimnasio totalmente equipado
✔ Alberca
✔ Teen room y kids room
✔ Salón para adultos y pets room
✔ Roof garden con vistas impresionantes
✔ Salón de eventos, lobby, bar, cocina y comedor para reuniones familiares
✔ Seguridad 24/7

Ubicación privilegiada con acceso rápido a las principales avenidas, escuelas y universidades de prestigio, hospitales, y todo lo que necesitas a tu alcance.
------------------------------------------------------------

La disponibilidad y precios quedan sujetos a cambios sin previo aviso.

Contamos con políticas de no discriminación.
*Para cualquier aclaración y/o quejas, por favor mandar mensaje al siguiente correo: quejas.pryagrupoinmobili----@gmail.com *

*Av., Santa Margarita #4099 Int. A-15
Plaza D-Lucca, Col. Santa Margarita, Zapopan, Jalisco. CP: 45138 *
*Teléfono: 33 14 54 5----
Horario de atención: Lunes a Viernes de 9:00 am a 6:00 pm, Sábados de 9:00 am a 1:00 pm.*

Aviso de privacidad:
**PIZARRO RESTREPO Y ASOCIADOS INMOBILIARIA SA DE CV de nombre comercial PRYA
Grupo Inmobiliario, es responsable del uso y protección de sus datos personales, en este sentido
y atendiendo las obligaciones legales establecidas en la Ley Federal de Protección de Datos
Personales en Posesión de los Particulares, a través de este instrumento se informa a los titulares
de los datos, la información que de ellos se recaba y los fines que se le darán a dicha información...**

Folio de registro 3371-2023

Consulta nuestro aviso de privacidad en nuestra página: www.prya---- EasyBroker ID: EB-TY9077","Puerta de Hierro, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-3ca9324d22d-38b4-198c542-b3e3-7e7e,"$ 24,000,000 MXN",venta,3.0,3.0,203 m²,3 Estacionamientos
Departamento en Venta en Puerta de Hierro,"Landmark Reserve | Departamento en Venta – Nivel 9
📍 Puerta de Hierro, Guadalajara
🏷️ Categoría: Residencial Premium | Estatus: Disponible

Descubre un exclusivo departamento en el piso 9 de Landmark Reserve, uno de los desarrollos más prestigiosos y vanguardistas de Guadalajara.

🧱 Superficie total: 203 m²
	•	193 m² interiores + terraza privada
	•	3 recámaras con baño completo
	•	3.5 baños
	•	Área de servicio con baño
	•	3 cajones de estacionamiento
	•	Distribución funcional, diseño contemporáneo y acabados de lujo

🏊‍♂️ Amenidades tipo Resort Living:
Más de 17 espacios pensados para el bienestar, estilo y comodidad:
	•	Alberca al aire libre
	•	Sky Garden con juice bar
	•	Spa con barber shop y nails bar
	•	Gimnasio equipado + salón de spinning
	•	Cine privado
	•	Ludoteca y área de adolescentes
	•	Biblioteca y residents kitchen
	•	Pet park
	•	Sports bar
	•	Concierge, seguridad 24/7 y valet parking

🔑 Beneficios clave:
✔️ Ubicación en zona de alta plusvalía
✔️ Espacios amplios con excelente iluminación
✔️ Vistas panorámicas desde el nivel 9
✔️ Acceso inmediato a The Landmark Shopping Mall
✔️ Ideal para quienes buscan exclusividad, privacidad y estilo de vida elevado

📍 Vive donde todo está al alcance, con la máxima comodidad y distinción.
Un lugar donde cada día se disfruta como si estuvieras de vacaciones, en el corazón de Puerta de Hierro.

📲 Contáctame para agendar tu visita:
FERNANDA. EasyBroker ID: EB-TO1793","Puerta de Hierro, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-442d092476c-3eed-197c8e7-8fd5-75d4,"$ 27,000,000 MXN",venta,3.0,,193 m²,3 Estacionamientos
